ID,Title,Slug,Thumbnail,Status
1,"Siêu Cấp Máy Dập Lạc Vào Công Ty Nữ",sieu-cap-may-dap-lac-vao-cong-ty-nu,https://cdn.vinahentai.cloud/test/story-images/poster-6910a195f190bf20fea6ca0d-w575-1770345625682-c585ee60.webp,pending
2,"Hahri's Lumpy Star",hahris-lumpy-star,https://cdn.vietmanhwa.com/story-images/6518ebcfbd9f1hahris-lumpy-background-1781899034181-fbd1d58a.webp,pending
3,"Ác Nữ Năm Xưa Quay Lại Chơi Đùa Tôi",ac-nu-nam-xua-quay-lai-choi-ua-toi,https://cdn.vinahentai.cloud/story-images/download-1774291676115-ff8eb233.webp,pending
4,"Mỗi Nơi, Một SexLand",moi-noi-mot-sexland,https://cdn.vinahentai.cloud/story-images/download-1774214284238-b48b90c1.webp,pending
5,"Lời Nguyền Của Kẻ Giả Gái",loi-nguyen-cua-ke-gia-gai,https://cdn.vinahentai.cloud/story-images/download-1775314073306-a41f3d6a.webp,pending
6,"Em Bỏ Hút Thuốc Chưa",em-bo-hut-thuoc-chua,https://cdn.vinahentai.cloud/story-images/download-1771282324743-12dcdc58.webp,pending
7,"Xin Chị Đại Lắng Nghe Lời Ngụy Biện Này",xin-chi-%C4%91ai-lang-nghe-loi-nguy-bien-nay,https://cdn.vinahentai.cloud/story-images/download-1777304912036-3dd48449.webp,pending
8,"Hồ Sơ Ẩn Danh Của Cô Giáo",ho-so-an-danh-cua-co-giao,https://cdn.vinahentai.cloud/story-images/download-1775313986093-e07635d7.webp,pending
9,"Kế Hoạch Trao Đổi Các Bà Mẹ Quyến Rũ",ke-hoach-trao-oi-me,https://cdn.vinahentai.cloud/story-images/download-1779726415042-f4a3ed9e.webp,pending
10,"Con Mèo Nhặt Được Hóa Ra Là Succubus!? Tôi nhận được kĩ năng vô hình (Không che)",con-meo-nhat-duoc-hoa-ra-la-succubus-toi-nhan-duoc-ki-nang-vo-hinh-khong-che,https://cdn.vinahentai.cloud/story-images/image-1781569792970-0b2b2931.webp,pending
11,"Tôi là nam quân nhân duy nhất trong đơn vị",toi-la-nam-quan-nhan-duy-nhat-trong-on-vi,https://cdn.vinahentai.cloud/test/story-images/poster-6929f45fbbc2f5ddd2dfb2dd-w575-1770348206954-16f5a3bc.webp,pending
12,"Cổ Vũ Tình Yêu",co-vu-tinh-yeu,https://cdn.vinahentai.cloud/story-images/co-vu-tinh-yeu-3-4-1781482450896-4e365314.webp,pending
13,"Những mẫu truyện tục tĩu (Phần 2)",nhung-mau-truyen-tuc-tiu-phan-2,https://cdn.vinahentai.cloud/test/story-images/poster-693c22631fe92f48a1a345b3-w575-1770345729182-cff335d1.webp,pending
14,"Săn MILF ở dị giới",san-milf-o-di-gioi,https://cdn.vinahentai.cloud/test/story-images/poster-68dbbc094cc992ac383d6a66-w575-1770345572359-591e06ab.webp,pending
15,"Sex Toy Không Dây",sextoy-ket-noi-khong-day,https://cdn.vinahentai.cloud/story-images/image-1779675995996-e0ae42fc.webp,pending
16,"Thằng Con Trai Duy Nhất Trong Clan Toàn Gái Xinh",thang-con-trai-duy-nhat-trong-clan-toan-gai-xinh,https://cdn.vinahentai.cloud/story-images/adw0s-1781220840923-4d5c60c3.webp,pending
17,"Con Cặc Hóa Rồng - Gái Dị Giới Tranh Nhau Hít (Không che)",con-cac-hoa-rong-gai-di-gioi-tranh-nhau-hit-khong-che,https://cdn.vinahentai.cloud/test/story-images/poster-691e9c8687ee55ce9251e9cf-w575-1770337808462-9ff146e1.webp,pending
18,"Vợ Tôi Là Vtuber TOP 1 Cả Nước",vo-toi-la-vtuber-top-1-ca-nuoc,https://cdn.vinahentai.cloud/story-images/download-1775314113495-352ab947.webp,pending
19,"Rắc rối của chủ tịch câu lạc bộ tennis",rac-roi-cua-chu-tich-cau-lac-bo-tennis,https://cdn.vinahentai.cloud/manga-posters/e9715800-662e-43a8-afe3-330b343404e9-1780559829-1780560363253-6d228922.webp,pending
20,"Giao Kèo Nguy Hiểm Và Người Đẹp Nhà Bên",giao-keo-nguy-hiem-va-nguoi-dep-nha-ben,https://cdn.vinahentai.cloud/story-images/image-1779796101890-95d13a47.webp,pending
21,"Tôi Được Giao Nhiệm Vụ Địt Hết Gái Chung Cư",toi-duoc-giao-nhiem-vu-dit-het-gai-chung-cu,https://cdn.vietmanhwa.com/story-images/8871930839_191505828_f2e7ae042057ff0d63feb467f64de1b8-1779518122989-b0dbce21.webp,pending
22,"Nàng Hàng Xóm Gợi Cảm Đã Có Chồng",nang-hang-xom-goi-cam-da-co-chong,https://cdn.vietmanhwa.com/story-images/download-1779215550459-422f04a6.webp,pending
23,"Set-up",set-up,https://cdn.vinahentai.cloud/test/story-images/poster-6929b43abbc2f5ddd2de54c2-w575-1770345689220-4142fcf9.webp,pending
24,"Từ Loser Thành Ma Cà Rồng",tu-loser-thanh-ma-ca-rong,https://cdn.vietmanhwa.com/story-images/693c31387b1b1-1779059957627-93ecb229.webp,pending
25,"Ác Tính Bẩm Sinh",ban-chat-ta-ac-ngay-tu-khi-sinh-ra-2,https://cdn.vietmanhwa.com/story-images/download-1778865291919-157411cf.jpg,pending
26,"Vợ Tôi Là Thiếu Nữ Ma Pháp Bá Đạo",vo-toi-la-thieu-nu-ma-phap-ba-dao,https://cdn.vietmanhwa.com/story-images/tqqrjlkld301uyswpkp89lui-1779035456819-926d068d.webp,pending
27,"Mỗi Tòa Nhà Một Giao Diện",moi-toa-nha-mot-giao-dien,https://cdn.vinahentai.cloud/test/story-images/poster-690f577f53d8b46f56825d56-w575-1770345622709-357d6f78.webp,pending
28,"Ăn mẹ cô trước",an-me-co-truoc,https://cdn.vinahentai.cloud/manga-posters/8292851f-375d-471c-92c1-c2347914db5f-1774192392682-603c20fc.jpg,pending
29,"Nỗ Lực Của Gia Sư",no-luc-cua-gia-su,https://cdn.vinahentai.cloud/test/story-images/poster-690b6b216da36d5ac75236d5-w575-1770345615726-50326b8c.webp,pending
30,"Ero: Công chúa khuất phục",ero-cong-chua-khuat-phuc,https://cdn.vinahentai.cloud/test/story-images/poster-69577002a042a6d66101de6f-w575-1770345861145-ac34c581.webp,pending
31,"Bị Nữ Chiến Binh Săn Đuổi Ở Dị Giới",bi-nu-chien-binh-san-%C4%91uoi-o-di-gioi,https://cdn.vinahentai.cloud/story-images/download-1775073453099-78cbc622.webp,pending
32,"Thuần Hóa Cô Chị Kế Của Tôi",thuan-hoa-co-chi-ke-cua-toi,https://cdn.vinahentai.cloud/story-images/download-1778068445623-09a5b0d4.webp,pending
33,"Gia Đình Mới Của Tôi",gia-inh-moi-cua-toi,https://cdn.vinahentai.cloud/test/story-images/poster-6939b50807a7b5dfeb96c641-w575-1770345721105-25621aa3.webp,pending
34,"Nhân loại ngày mạt thế",nhan-loai-ngay-mat-the,https://cdn.vinahentai.cloud/story-images/download-1778194549546-9ba5622a.webp,pending
